TRAIN DEVICE,TEST DEVICE,BOTNET,CLASSIFIER,ACCURACY,PRECISION,RECALL,F1-SCORE,FALSE-P,FALSE-N
Danmini_Doorbell,1003_Security_Cam,mirai,RFR,1.0,0.9999,0.9995,0.9997,19,2
Ecobee_Thermostat,Danmini_Doorbell,mirai,RFR,0.9913,0.9954,0.9384,0.9648,6109,0
Ecobee_Thermostat,Ecobee_Thermostat,mirai,RFR,1.0,1.0,1.0,1.0,0,0
Ecobee_Thermostat,B120N10_Baby_Mon,mirai,RFR,0.9896,0.9934,0.9766,0.9847,8208,0
Ecobee_Thermostat,737E_Security_Cam,mirai,RFR,0.9911,0.995,0.9645,0.9791,4409,0
Ecobee_Thermostat,838_Security_Cam,mirai,RFR,0.9832,0.9899,0.955,0.9714,8857,0
Ecobee_Thermostat,1002_Security_Cam,mirai,RFR,0.995,0.9973,0.9699,0.9831,2809,0
Ecobee_Thermostat,1003_Security_Cam,mirai,RFR,0.9997,0.9999,0.9964,0.9981,142,0
B120N10_Baby_Mon,Danmini_Doorbell,mirai,RFR,1.0,1.0,0.9999,0.9999,11,0
B120N10_Baby_Mon,Ecobee_Thermostat,mirai,RFR,0.9999,0.999,0.9999,0.9995,2,26
B120N10_Baby_Mon,B120N10_Baby_Mon,mirai,RFR,1.0,1.0,1.0,1.0,0,0
B120N10_Baby_Mon,737E_Security_Cam,mirai,RFR,0.9986,0.9945,0.9991,0.9968,19,687
B120N10_Baby_Mon,838_Security_Cam,mirai,RFR,0.9998,0.9996,0.9996,0.9996,58,62
B120N10_Baby_Mon,1002_Security_Cam,mirai,RFR,0.9999,0.9997,0.9998,0.9998,12,27
B120N10_Baby_Mon,1003_Security_Cam,mirai,RFR,0.9999,0.9995,0.9998,0.9996,6,21
737E_Security_Cam,Danmini_Doorbell,mirai,RFR,1.0,0.9999,1.0,1.0,0,8
737E_Security_Cam,Ecobee_Thermostat,mirai,RFR,1.0,0.999,1.0,0.9995,0,25
737E_Security_Cam,B120N10_Baby_Mon,mirai,RFR,0.9993,0.9995,0.9985,0.999,525,15
